id,name,wiki_title,wiki_url,description_source_text,source_ids,status,notes
35,Planet Squanch,Planet Squanch,https://rickandmorty.fandom.com/wiki/Planet_Squanch,"Planet Squanch is a planet that appeared in the episode ""The Wedding Squanchers"". It is the planet where Squanchy comes from and it is 6,000 light years away from Earth.

Birdperson and Tammy, for unknown reasons, decided to hold their wedding on this planet. They invited a large group of friends and acquaintances to this special occasion, all of which were criminals in the eyes of the Galactic Federation. The Smith Family attended the wedding against Rick's wishes. Squanchy wed Birdperson and Tammy on a beach before a setting star.

Later at the wedding reception, Tammy exposed herself as an undercover agent for the Galactic Federation and shot Birdperson before Gromflomites crashed in through the roof and raided the event. The ensuing shootout killed most of the guests, with Squanchy surviving. The Smith family managed to escape in a flying catering van.",locations-35-wiki|locations-35-api,ok,
36,Glaagablaaga,Glaagablaaga,https://rickandmorty.fandom.com/wiki/Glaagablaaga,Glaagablaaga is the planet of Garblovians. This planet is seen on Interdimensional Cable 2: Tempting Fate. Not much else is known of this planet.,locations-36-wiki|locations-36-api,ok,
37,Resort Planet,Resort World,https://rickandmorty.fandom.com/wiki/Resort_World,"Resort World is a planet covered with forests and wild nature. It is the home of the Brosephamons and where the Immortality Field Resort is located. An artificial black hole is located close to the planet and is used by a cruiseliner to reach the resort.

Resort World was the home of two warring alien species before Rick intervened and provided one side with highly advanced weaponry, easily defeating the Brosephamons. They would go on to build the Immortality Field Resort and enslave the Brosephamons into manual labor.

Rick would later return to the planet to visit the new resort with Jerry Smith. Risotto Groupon, leader of the Brosephamons, used this opportunity to attempt revenge on Rick, but failed and was in turn killed.",locations-37-wiki|locations-37-api,ok,
38,Interdimensional Customs,Interdimensional Customs,https://rickandmorty.fandom.com/wiki/Interdimensional_Customs,"Intergalactic Customs is a location shown in the episode ""Pilot"".

Rick Sanchez and Morty Smith passed through customs on their way from Dimension 35-C to the Prime Dimension while smuggling Mega Seeds. Morty hid the seeds up his butt in order to pass through the scanners undetected, but Morty was randomly picked to go through a new machine which can detect stuff up someone's butt. The duo pushed away the guard and ran through the scanners. Security was quick to pursue them, but could not stop them before they reached a portal. While Rick typed in their coordinates, Morty covered him by shooting at the guards. He mortally wounded the guard Glenn before he and Rick escaped back to Earth.",locations-38-wiki|locations-38-api,ok,
39,Galactic Federation Prison,Galactic Federation Prison,https://rickandmorty.fandom.com/wiki/Galactic_Federation_Prison,"The Galactic Federation Prison was a location that appears in ""The Wedding Squanchers"" and ""The Rickshank Rickdemption"". The prison was notorious for not only housing its most dangerous inmates but also for keeping its most sensitive and classified data, which had the power to completely dismantle the Federation itself. Rick Sanchez was an inmate in that prison until he escaped.

The prison was destroyed when Rick Sanchez teleported the Citadel of Ricks on top of it, devastating both structures. A fierce battle ensued, consisting of the Federation, its prisoners and The Citadel of Ricks, leaving many from all sides dead, including several Ricks and Mortys.

After almost being caught by the Galactic Federation at Birdperson and Tammy's wedding, Rick Sanchez and the rest of the Smith Family become wanted fugitives. Realizing its the best choice for his family's safety, Rick turns himself in and his promptly taken to the Galactic Federation's prison. His DNA is analysed at the prison, revealing a long list of crimes Rick is wanted for, until he is strapped to one of the prison's cube-shaped cells and left to serve his sentence. When asked what he's in prison for by a fellow inmate, Rick simply responds with ""Everything"".

Some time later, Rick is interrogated by Cornvelious Daniel inside a series 9000 Brainalyzer with the goal of unlocking Rick's secret of interdimensional portal travel. This does not go to plan, as Rick tricks the Gromflomites into downloading a code that gives him access of the Brainalyzer under the guise it was the equation for portal travel. He escapes into Cornvelious Daniel's body just as SEAL Team Ricks attacks the prison. Rick then uses the Brainalyzer to take over the body of one of the Ricks and escapes the facility entirely.

Rick then hopped into yet another Rick's body, this time being the Commander-in-Chief of the Citadel of Rick's militia and uses his higher clearance to teleport the entire Citadel on top of the Galactic Prison, causing catastrophic damage. After Rick dismantled the Federation by destroying their economy, it is unknown what happened to the prison after the Federation was able to re-build itself.",locations-39-wiki|locations-39-api,ok,
40,Gazorpazorp,Gazorpazorp,https://rickandmorty.fandom.com/wiki/Gazorpazorp,"Gazorpazorp is the homeworld of the male and female Gazorpians.

Gazorpazorp is a planet in the Andromeda System.

As a result of conflicts, the two genders divided. While the females flourished and advanced, the males became primitive. The females created incubation sex robots in order to continue the growth of their race without having to procreate with males, retrieving them once the males finish copulation. Summer and Rick were forced into visiting the homeworld after a sex doll, bought by Rick at an interplanetary Pawn Shop, gave birth to Morty Jr.. In the end, however, they leave the planet, avoiding death by trial.",locations-40-wiki|locations-40-api,ok,
41,Hamster in Butt World,Hamster in Butt World,https://rickandmorty.fandom.com/wiki/Hamster_in_Butt_World,"The Hamster in Butt World is an alternate dimension inhabited by Hamsters In Butts that appeared in the episode ""Rixty Minutes"".

The Smith Family was watching this on the inter-dimensional TV, and asking Rick Sanchez a bunch of questions about it as he had no answer about the world. Eventually, Rick got fed up with all of them, because he has not ever been there either and took them all to visit the dimension. Jerry excitedly called it a family vacation, as the family all had a fun vacation there and all of their questions were answered.",locations-41-wiki|locations-41-api,ok,
42,Earth (Giant Telepathic Spiders Dimension),The President (Ice Cream Universe),https://rickandmorty.fandom.com/wiki/The_President_(Ice_Cream_Universe),"While most known dimensions have Andre Curtis as the President of the United States, “The Ricks Must Be Crazy” features a different President from an alternate Earth that is home to Giant Telepathic Spiders.

Following the protocol of “keep summer safe”, the Space Cruiser killed a pediatrician and paralyzed his friend, both for approaching the car. The police tried to intervene, but were stopped after the ship scared them. This resulted in the military getting involved.

To solve the situation without using physical or psychological methods, the ship contacted a representative of the Giant Telepathic Spiders and the President, and convinced them to form a peace agreement. The President made a public announcement about this decision, stating that the government will stop bombing the spiders, and the latter will stop consuming humans. He also pardoned the Space Cruiser and told the military to leave it alone.",locations-42-wiki|locations-42-api,ok,
43,Alphabetrium,Alphabetrium,https://rickandmorty.fandom.com/wiki/Alphabetrium,"Alphabetrium is a faraway realm inhabited by an ancient race who resemble giant letters of various alphabets. It was ruled by a council, which consists of Magma-Q, Magnesium-J, and Hydrogen-F. After the end of the war between Alphabetrium and the Numbericonia, they started to live on Alphabetrium together, united under the new nation of Alphanumbericon.

It's the homeworld of Ice-T, an exiled native of Alphabetrium who became a well-known rapper on Earth. After Ice-T saved Earth from being destroyed by the Cromulons, the elders of Alphabetrium received word from across the galaxy of Ice-T's heroism and relieved him of his exile, granting him of his true form Water-T. Moments later, Alphabetrium was under attack by the Numbericons and Helium-Q dies when a ceiling collapses in him. Despite overwhelming enemy numbers, Water-T pulls out his guns and bursts through the doors, ready to crunch the numbers.",locations-43-wiki|locations-43-api,ok,
44,Jerryboree,Jerryboree,https://rickandmorty.fandom.com/wiki/Jerryboree,"The Jerryboree is an interdimensional daycare used to look after various versions of Jerry Smith from the multiverse.

Jerryboree first appeared in Mortynight Run, as a daycare for Jerries. It is located in Furp Rock Plaza on an unregistered cross-temporal asteroid, which has the co-ordinates 3924917. Ricks and Morties are required to fill out a paper including information of their Jerry, including their original dimension, their allergies, length of stay, and reason for drop off.

Jerries are then taken to a room of other Jerries, decorated with golf courses, tunnel slides (see summer slide), and a miniature Titanic 2 model. However, the scenery doesn't seem to appeal to Jerries dropped off here, as most of them wander around, confused. Part of the Jerryboree is a slide that drops into a ball pit into a room that resembles the interior of the Smith House. It is said by the employees that it is an exit, but it simply leads to said room. There is an employee who wears a Beth suit to entertain the Jerries, often inviting them to watch a movie.

All the Jerrys who ever passed through Rick's portals returned to their original dimensions after the reboot of portal travelers in ""Solaricks."" However, titular Jerry visits the Jerryboree again in ""Bethic Twinstinct"", showing that the business continues to exist.",locations-44-wiki|locations-44-api,ok,
45,Krootabulon,Krootabulon,https://rickandmorty.fandom.com/wiki/Krootabulon,"Krootabulon is the home planet of the Krootabulan race. It can be assumed to have a different ecosystem than Earth and a harsher environment, resulting in the Krootabulans becoming a warrior race. A creature named Gorgon presumably lives on this planet and has the same role as a bull on Earth. Varrix may have lived here before Krootabulans started hunting them.",locations-45-wiki|locations-45-api,ok,
46,Zigerion's Base,,,,,insufficient_source,No location-specific or plausible alias wiki page found; use API facts and optional M. Night Shaym-Aliens! episode context.
47,Pluto,Pluto,https://rickandmorty.fandom.com/wiki/Pluto,"Pluto is a dwarf planet located in Earth's Solar System. inhabited by sentient Plutonians. The planet is first mentioned in ""Something Ricked This Way Comes"", when Jerry and Morty Smith are abducted and transported there.

Pluto is ruled by King Flippy Nips, a denier of Pluto's environmental shrinking crisis and close associate of Pluto's corporate leaders. His son, Scroopy Noopers, is an activist who aims to stop the mining operations responsible for Pluto's shrinking.

Pluto first appeared in ""Something Ricked This Way Comes"", when Morty and his father Jerry were making a model of the solar system as a science project for school. When Jerry started to add Pluto to the model, Morty pointed out to him that Pluto was ""no longer a planet."" He then Googled it and confirmed that the celestial body is, in fact, no longer considered a planet, due to several other bodies in the solar system being larger and/or having more planetary mass than Pluto. Jerry, outraged at this change from the science he grew up with, called NASA to chew them out about Pluto, claiming that it is still a planet.

Unbeknownst to the Smiths, the Plutonians were monitoring Jerry's phone call, and decided to abduct him and Morty so the two could serve as representatives of Earth's science, and convince the Plutonians once and for all that Pluto is a planet.

After Jerry makes several public appearances to the Plutonians, claiming that Pluto is still a planet, Morty is taken aside by the environmental activist Scroopy Noopers, who shows Morty that the dwarf planet is shrinking due to mass mining of Pluto's resources; namely, plutonium. Noopers explains that if the mining continues, Pluto will continue to shrink until it ""poofs"" out of existence. Morty reveals this fact to Jerry, who doesn't take it seriously at first. However upon finding out that Scroopy is actually the son of the king who's willing to throw his own son in jail for telling the truth, he has a change of heart and announces to the population of Pluto that it is no longer classifiable as a planet, enraging them and resulting in him and Morty being returned to Earth.

The future of the planet is unknown, but it is likely that the planet will continue to shrink until it is destroyed, or until the seismic activity caused by the mining of plutonium destroys all life on the planet, as well as the mining facilities.",locations-47-wiki|locations-47-api,ok,
48,Fantasy World,Fantasy Planet,https://rickandmorty.fandom.com/wiki/Fantasy_Planet,"The Fantasy Planet is a location inhabited by humans, as well as other beings, in a medieval-themed setting. A beanstalk connects the planet's surface with the Giant World; a highly more advanced land in the sky populated by Giants.

This planet is the planet which Morty took Rick to when he could choose their next adventure. They found a village in which Morty took upon a quest to seek out gold in Giant World, which is located in the sky above the planets surface.

When having reached the Giant World, they were accused of ""giant murder"" after a fatal accident, but released because they were never read their rights.

They next reached a bar where Morty was attempted raped by King Jellybean and Rick won a large sum of Schmeckles, which they gave to the village. As they left, Rick shot their king with his Laser gun for attacking Morty.",locations-48-wiki|locations-48-api,ok,
49,Zeep Xanflorp's Miniverse,Zeep Xanflorp,https://rickandmorty.fandom.com/wiki/Zeep_Xanflorp,"Zeep Xanflorp is a scientist within Rick's Microverse Battery who creates his own micro-planet power supply called the Miniverse. His development of a new power supply prevents Rick from using his flying car. Zeep is depicted as arrogant and very intelligent, and in many ways a parallel of Rick Sanchez.",locations-49-wiki|locations-49-api,ok,
50,Kyle's Teenyverse,Kyle,https://rickandmorty.fandom.com/wiki/Kyle,"Kyle is a minor character introduced in the episode ""The Ricks Must Be Crazy"" who existed within Zeep Xanflorp's Miniverse.",locations-50-wiki|locations-50-api,ok,
51,Larva Alien's Planet,Larvaalians,https://rickandmorty.fandom.com/wiki/Larvaalians,"The Larvaalians are an alien species that was part of the Galactic Federation before its fall. Their home planet was destroyed by Cromulons.

Their planet was involuntarily transported to Signus 5 Expanse to be a part of the interdimensional cromulon TV show Planet Music. Their representatives performed after Arboles Mentirosos and before Earth. They were not declared the winners and their planet was destroyed by a plasma ray.

One larvaalian attended the wedding of Birdperson and Tammy on Planet Squanch.

*""Get Schwifty""
*""Interdimensional Cable 2: Tempting Fate""
*""The Wedding Squanchers""",locations-51-wiki|locations-51-api,ok,
52,Earth (K-22),Morty Smith (K-22),https://rickandmorty.fandom.com/wiki/Morty_Smith_(K-22),Morty Smith (K-22) is a Morty who travels with Rick Sanchez (K-22) to collect donations to the Citadel of Ricks redevelopment fund in the episode The Ricklantis Mixup.,locations-52-wiki|locations-52-api,ok,
53,Mr. Meeseeks Box,Mr. Meeseeks Box,https://rickandmorty.fandom.com/wiki/Mr._Meeseeks_Box,"The Mr. Meeseeks Box is a gadget that creates a Mr. Meeseeks for the purpose of completing one given objective.

It was introduced in the episode ""Meeseeks and Destroy."" It is a gadget which creates a Mr. Meeseeks for the purpose of completing one objective. Once it completes the objective, Mr. Meeseeks vanishes.",locations-53-wiki|locations-53-api,ok,
54,Vindicator's Base,Vindicators 3: The Return of Worldender/Gallery,https://rickandmorty.fandom.com/wiki/Vindicators_3%3A_The_Return_of_Worldender%2FGallery,,locations-54-wiki|locations-54-api,ok,
55,Pawn Shop Planet,Pawn Shop Planet,https://rickandmorty.fandom.com/wiki/Pawn_Shop_Planet,"The Pawn Shop Planet is a very tiny planet, most likely a dwarf, that appeared in the episode ""Raising Gazorpazorp"". Its only known inhabitant is an alien who most likely does not live there but only goes there to work, who is known to eat sulfur.",locations-55-wiki|locations-55-api,ok,
56,Mega Gargantuan Kingdom,Immortality Field Resort,https://rickandmorty.fandom.com/wiki/Immortality_Field_Resort,"Immortality Field Resort is a luxury resort built inside an immortality field. Rick brought Jerry here in the episode ""The Whirly Dirly Conspiracy"" on Morty's request.

The area in which the resort resides was once the kingdom of the Brosephamons. The kingdom was at one point usurped by another alien race using weapons supplied by Rick, enslaving the native aliens to work at the resort.

By Morty's wish, Rick brought Jerry to this resort in order to cheer him up. Once they had arrived Rick was attacked and killed by Shnoopy Bloopers, who in turn was killed by Rick; before resurrecting back to life due to the immortality field. Jerry would later be forced into a backroom by Risotto Groupon and his henchmen to be included in a plot against Rick. This lead Jerry and Rick onto the Whirly Dirly, a popular theme park ride at the resort, where Risotto had positioned assassins to kill Rick. Jerry would then get cold feet and save Rick on the ride, with Rick defeating both Risotto's assassins and henchmen, as well as destroying the immortality field.",locations-56-wiki|locations-56-api,ok,
57,Gear World,Gear World,https://rickandmorty.fandom.com/wiki/Gear_World,"Gear World is a planet located in the Gear System. It is the home of Gearhead and other Gear People, and was a part of the Galactic Federation prior to its downfall. Gear World made its first appearance in the Rick and Morty episode, ""Mortynight Run.""

Geardude of Gear World joined Rick Sanchez, Birdperson, Squanchy and more to fight the Galactic Federation before they could conquer the whole universe. At some point after the Battle of Blood Ridge, Geardude's funeral was held on Gear World.

Rick Sanchez and Morty Smith brought Fart to Gearhead's workshop on Gear World after escaping the Galactic Federation. They were quickly betrayed by Gearhead who tipped off the police on their location. The ensuing spaceship chase went through a gear city where a large part of the city was destroyed when Fart showed a vision to one of the gear police officers, making him steer his ship into another creating a chain reaction. This allowed Rick, Morty, and Fart to escape.

Gear World did not see much change after the downfall of the Galactic Federation. Shortly after The Vindicators disbanded, Gear World experienced an alien terror attack, though its outcome is not known.",locations-57-wiki|locations-57-api,ok,
58,Earth (D-99),Rick Sanchez (D-99),https://rickandmorty.fandom.com/wiki/Rick_Sanchez_(D-99),Rick D-99 was a member of SEAL Team Ricks who was sent by the Citadel of Ricks to assassinate Rick Sanchez (C-137). He was clearly among the toughest and most dangerous Ricks as he was part of their elite assassination unit. His body was used by Rick C-137 in his elaborate plot to destroy the Galactic Federation. He was blown up when C-137 took control of a higher-class Rick and ordered another Rick to blow him up.,locations-58-wiki|locations-58-api,ok,
59,Earth (D716),Rick Sanchez (D716-B),https://rickandmorty.fandom.com/wiki/Rick_Sanchez_(D716-B),Rick Sanchez (D716-B) is a co-anchor for the news channel CN on the Citadel of Ricks. He is from Dimension (D716-B).,locations-59-wiki|locations-59-api,ok,
60,Earth (D716-B),Rick Sanchez (D716-B),https://rickandmorty.fandom.com/wiki/Rick_Sanchez_(D716-B),Rick Sanchez (D716-B) is a co-anchor for the news channel CN on the Citadel of Ricks. He is from Dimension (D716-B).,locations-60-wiki|locations-60-api,ok,
61,Earth (D716-C),Rick Sanchez (D716),https://rickandmorty.fandom.com/wiki/Rick_Sanchez_(D716),"Rick Sanchez (D716) was a co-anchor for Citadel Morning News on the channel CN at the Citadel. He works alongside Rick Sanchez (D716-B) in the studio, with Rick Sanchez (D716-C) in the field. He is from Dimension (D716).",locations-61-wiki|locations-61-api,ok,
62,Earth (J-22),Rick Sanchez (J-22),https://rickandmorty.fandom.com/wiki/Rick_Sanchez_(J-22),"Rick Sanchez J-22 is an alternate version of Rick Sanchez who first appeared in the episode, ""The Ricklantis Mixup"", He is a factory worker at Simple Rick’s Wafer Cookie Factory, first acting as part of the wafer assembly line and later as part of the flavor core.

At one point, he became a member of the Citadel of Ricks. He spent 15 years as a factory worker. He hoped to get a promotion, and when Regional Manager Rick promoted Cool Rick instead, who had only recently joined the citadel, he became even more bitter and disillusioned. This bitterness got to the point that he went on a rampage, destroying his wafer assembly machine and killing Regional Manager Rick in a fit of rage. After sealing himself into the flavor core, he took an unconscious Simple Rick as a hostage, and made demands to SWAT Team Ricks for an unregistered portal gun. His demands were met and he freed Simple Rick who was understandably disoriented, convincing him that he is going to be ok. This is followed by J-22 abruptly sending him through a portal, which had been underhandedly locked to the coordinates of the Blender Dimension by the SWAT Team. This tragically resulted in Simple Rick's brutal death at the hands of his captors.

Just before he is about to be apprehended, Rick D. Sanchez III appears just in the nick of time, commending J-22 for the guts he had to rebel against the bureaucratic system, saying he spent enough time as a factory worker, and then frees him from police custody. As he was being applauded by his coworkers and getting emotional over seeing a limo just for him, Rick D. Sanchez III subdued and rapidly used him as a replacement of Simple Rick's memory for the flavor of Simple Rick's Wafers.

It's unknown if he was present and died during the destruction of the Citadel or left it and survived his likely demise.",locations-62-wiki|locations-62-api,ok,
63,Froopyland,Froopyland,https://rickandmorty.fandom.com/wiki/Froopyland,"Froopyland is an artificially generated world created by Rick Sanchez from a collapsed quantum tesseract some time in the 1980s for his daughter, Beth Smith, when she was a little girl. It appears in ""The ABC's of Beth"".

Rick outright admits that his reason for creating Froopyland was to sequester Beth, who clearly showed strong psychotic tendencies as a child, and protect their neighborhood (though he immediately makes it clear that he didn't do so out of the non-existent goodness of his heart, but just so he wouldn't have to clean up any of Beth's messes). Rick mentioned that all other Ricks also made a Froopyland for their Beths.",locations-63-wiki|locations-63-api,ok,
64,Detoxifier,Healthy Morty,https://rickandmorty.fandom.com/wiki/Healthy_Morty,,locations-64-wiki|locations-64-api,ok,
65,Trunk World,Trunk Morty,https://rickandmorty.fandom.com/wiki/Trunk_Morty,"Trunk Morty is a Trunk person-version of Morty Smith. He is briefly seen in a hospital in ""The Ricklantis Mixup"".",locations-65-wiki|locations-65-api,ok,
66,Plopstar,Tumblorkians,https://rickandmorty.fandom.com/wiki/Tumblorkians,"The Tumblorkians are a blobby, four-eyed slime alien race that exist in the world of Rick and Morty. The species originates from the planet Plopstar

At one point a huge group of Tumblorkians held a protest with Shrimply Pibbles.

*""Mortynight Run""
*""The Wedding Squanchers""
*""Vindicators 3: The Return of Worldender""",locations-66-wiki|locations-66-api,ok,
67,Blips and Chitz,Blips and Chitz,https://rickandmorty.fandom.com/wiki/Blips_and_Chitz,"Blips and Chitz is an intergalactic arcade.

Blips and Chitz is introduced in the episode Mortynight Run. Blips and Chitz is an arcade themed building where Morty plays a virtual reality game called Roy: A Life Well Lived, where he lives through the entire life of a man named Roy up to the age of 55.

When Morty returned, he was furious at Rick for selling a gun to the assassin Krombopulos Michael for a single afternoon at Blips and Chitz. Rick didn't care for what Morty had to say and proceeded to take his turn in Roy: A Life Well Lived.

In the post-ending credits epilogue for the episode, they featured a commercial for the episode where Rick starred in. In the commercial an alien can be seen getting teleported into a game and getting shot and another alien can be seen getting decapitated.

In the Comics, Rick and Morty are consistently visiting Blips and Chitz.

In Pocket Mortys, there are Blips and Chitz Express machines located all over the various dimensions. Here you can buy Mortys using Blips and Chitz Coupons.",locations-67-wiki|locations-67-api,ok,
68,Girvonesk,Greebybobes,https://rickandmorty.fandom.com/wiki/Greebybobes,"Greebybobes are an alien species that lived on the Planet Parblesnops. They appeared frequently as background characters throughout the series before their gruesome planet getting destroyed by Cromulons in the episode ""Get Schwifty"". However a couple of them are seen in later episodes implying the species isn't extinct.

Their planet, with the entire Greebybobe population on it, was transported by Cromulons to Signus 5 Expanse to be a part of the TV show Planet Music. They were the first ones eliminated by plasma ray for refusing to play their music and wanting to be set free again, which upset the Cromulons and led to their disqualification in the show. A Greebybobe was seen at Rick's party at the end of ""Vindicators 3: The Return of Worldender"" and first appeared in the alien airport in the episode ""Pilot"".",locations-68-wiki|locations-68-api,ok,
69,Earth (C-35),Dimension 35-C,https://rickandmorty.fandom.com/wiki/Dimension_35-C,"Dimension 35-C is an alternate dimension that Rick and Morty visited in the Pilot episode.

Rick and Morty went there in search of Mega Trees, which had fruit containing seeds that Rick considered extremely important to his research. Morty walked straight off a cliff and broke both of his legs, but Rick managed to heal them by visiting another dimension with more advanced medicine. Due to this trip, the portal gun was empty and they traveled back to Earth by interdimensional customs and Morty had to conceal the mega seeds up his butt. Before this, Rick and The Flesh Curtains had gone there as part of their world tour.

*""Pilot""
*""Close Rick-Counters of the Rick Kind"" (flashback)
*""Never Ricking Morty"" (cameo)",locations-69-wiki|locations-69-api,ok,
70,Snuffles' Dream,Snuffles,https://rickandmorty.fandom.com/wiki/Snuffles,"Snuffles, (who changed his name to Snowball and back again) was Morty's pet dog featured in the episode Lawnmower Dog. Snuffles is a small, fluffy white-haired dog that experiences some trouble with being potty-trained until Rick develops an IQ-enhancing helmet for him at the request of Jerry.",locations-70-wiki|locations-70-api,ok,
71,Earth (Pizza Dimension),Pizza Universe,https://rickandmorty.fandom.com/wiki/Pizza_Universe,"The Pizza Universe is a dimension where Pizza and Humans are in the opposite roles than they are in the real world.

In Close Rick-Counters of the Rick Kind Rick and Morty briefly passed through this dimension when they were being pursued by the Council of Ricks.

*Close Rick-Counters of the Rick Kind",locations-71-wiki|locations-71-api,ok,
72,Earth (Phone Dimension),Phone Universe,https://rickandmorty.fandom.com/wiki/Phone_Universe,"The Phone Universe is an alternate reality where phones are sentient beings who use pizzas as furniture, eat furniture for sustenance and use people as phones.

In ""Rixty Minutes"" a Michael Jackson video of ""Thriller"" featuring phone people appears in one of the channels Rick flips through.

In ""Close Rick-Counters of the Rick Kind"" Rick and Morty run through it as they're pursued by the Council of Ricks.

During the memory flashback featured in ""Rickmurai Jack"" it is confirmed that the Phone Universe was an early (possibly even the first) dimension explored by Rick C-137 on his journey to find the alternate Rick who was responsible for the untimely deaths of his family.",locations-72-wiki|locations-72-api,ok,
73,Greasy Grandma World,Greasy Grandma World,https://rickandmorty.fandom.com/wiki/Greasy_Grandma_World,"Greasy Grandma World is another dimension that Rick and Morty pass through quickly while pursued by the Council of Ricks in ""Close Rick-counters of the Rick Kind.""",locations-73-wiki|locations-73-api,ok,
74,Earth (Chair Dimension),Furniture Universe,https://rickandmorty.fandom.com/wiki/Furniture_Universe,"The Furniture Universe is a universe where furniture are sentient beings who use human beings as furniture, eat phones for sustenance and use pizza as phones.

Besides the obvious, all other readily observable aspects of this dimension appear to be more or less unchanged.

Rick and Morty temporarily hid in this dimension after successfully evading the Council of Ricks.",locations-74-wiki|locations-74-api,ok,
75,Árboles Mentirosos,Arboles Mentirosos,https://rickandmorty.fandom.com/wiki/Arboles_Mentirosos,"Arboles Mentirosos is a currently destroyed planet that appeared in the episode ""Get Schwifty"". It was home to a species called Arbolian Mentirososians who had their planet featured on the in-series TV show Planet Music. They were then disqualified and their planet was destroyed.",locations-75-wiki|locations-75-api,ok,
76,Alien Day Spa,Toxic Morty,https://rickandmorty.fandom.com/wiki/Toxic_Morty,"Toxic Morty, also known as Gunk Morty , was an extracted manifestation of what Morty Smith considered to be all his ""toxic"" attributes at the time of Rest and Ricklaxation, the counter part of Healthy Morty.",locations-76-wiki|locations-76-api,ok,
77,Earth (Fascist Dimension),Fascist dimension,https://rickandmorty.fandom.com/wiki/Fascist_dimension,"The fascist dimension is an alternative dimension where Earth turned into a global fascist society. Rick and Morty went on a massacre in this dimension to save it from fascism in Rick and Morty Issue 29.

At some point in this dimension, fascism became the dominating ideology on Earth. As a result, the planet's experienced centuries of income inequality and poverty. A nearby planet filled with immigrants and refugees who are just trying to find a better life, has been at war for millennia. Lies have been used to wipe out a history of intellectuals.

This Earth received a brief visit from C-137 Rick and Morty, who went on a killing spree inside of a diner.",locations-77-wiki|locations-77-api,ok,
78,Snake Planet,Snake Planet,https://rickandmorty.fandom.com/wiki/Snake_Planet,"Snake Planet is a planet in Dimension C-131 that first appeared in the episode ""Rattlestar Ricklactica"". It was inhabited by sapient Snakes, which were later reverted out of existence by Time Cops after the snakes started thoughtlessly meddling with time travel technology.

Unlike most other extraterrestrial life forms in Rick and Morty, the snakes on this planet do not communicate with regular language. Instead, they communicate by hissing.

Morty was bitten by a snake astronaut, so Rick analyzed this planet in order to find an antidote. This led to their discovery of snake jazz, and also the antidote. Morty later returned to this planet to deliver Slippy disguised as the astronaut snake that he previously killed; the return of which sparked a series of events and led to the snakes inventing time travel technology and set in motion a Terminator style war in the near future. Rick and Morty then returned to this planet in its past to covertly deliver instructions to the students of Snake M.I.T. covering everything they would need to know to invent time travel many years in advance using snake math. The recently enlightened inhabitants used time travel to alter events in the past and future; the increased activity eventually got picked up by the Time Police. This was at least partially due to one of the students using the technology to prevent the assassination of Snake Abraham Lincoln, leading to a butterfly effect which likely caused Snake Adolf Hitler to win Snake World War II. Shleemypants and his colleague promptly time-traveled to the planet in the distant past after learning what had taken place and beat up the first snake to use a stick as a tool, which prevented the snakes from ever again becoming an advanced species.",locations-78-wiki|locations-78-api,ok,
79,Forbodulon Prime,Forbodulon Prime,https://rickandmorty.fandom.com/wiki/Forbodulon_Prime,"{{Location
|image=
|name =
|dimension = Dimension C-131
|type = Planet
|first = ""Edge of Tomorty: Rick Die Rickpeat""
}}
 is a near barren planet known for its valuable Death Crystals. It's located near an asteroid belt with several other planets close by.

The planet appears desert-like with little vegetation found, except for cacti and small bushes.

Rick Sanchez dragged Morty Smith along to in order to extract Death Crystals. While mining out the crystals, they were attacked by Crystal Poachers, but Rick easily killed them with the help of the Death Crystals. The duo continued filling their box full of the crystals before returning to the Space Cruiser, but Morty stole one for himself and used it to guide himself towards a death with Jessica by his side. This led to him crashing the Space Cruiser and killing Rick. Though Hologram Rick tried to have Morty revive Rick, the Death Crystal compelled Morty to leave the body behind.

Rick was revived through a backup protocol of Operation Phoenix awakening in the Fascist Dystopian Universe. In the brief time that he pondered staying with Fascist Morty, he tried to go to his new reality's version of Forbodulon Prime only for his grandson to hold him at gunpoint.",locations-79-wiki|locations-79-api,ok,
80,Earth (Fascist Shrimp Dimension),Shrimp Universe,https://rickandmorty.fandom.com/wiki/Shrimp_Universe,"The Shrimp Universe is a fascist reality where Earth's dominant inhabitants are descended from shrimps instead of apes.

Rick C-137 stumbled into this universe when his brain got uploaded to Shrimp Rick's clone body. Shrimp Rick seemed like a nice guy, but when Rick C-137 said ""Honestly, you’re doing me a huge favor by being shrimp instead of fascists”, shrimp Rick turned out to actually be fascist and turned on Rick once he realized Rick C-137 was not a supporter. Rick C-137 was chased into town by officers and shrimp dogs, the latter of which soon caught him and caused his death.

The Shrimp Universe makes a brief cameo in ""Rickmurai Jack"".",locations-80-wiki|locations-80-api,ok,
